GEOID	BORO	TUID	DIST_ROADBED	DIST_BLDG_HGHT	TYPE
360050016004002	Bronx	20130701030136	0	1.777935	d
360050019003022	Bronx	20130701001306	0	3.212879	d
360050019003022	Bronx	20130701025889	0	3.212879	d
360050019003037	Bronx	20130701027547	19.74925527	3.584705	d
360050020006001	Bronx	20130701023507	0	3.090652	d
360050023002000	Bronx	20130701025034	0	5.452357	d
360050023003000	Bronx	20130701020863	8.96988594	5.263137	d
360050023003001	Bronx	20130701007539	0	4.631351	d
360050025001000	Bronx	20130701030396	0	5.818565	d
360050025001001	Bronx	20130701007430	111.3622558	7.956777	d
360050025002000	Bronx	20130701011984	0	5.04654	d
360050025005002	Bronx	20130701019777	0	3.65778	d
360050027012000	Bronx	20130701004114	0	4.281732	d
360050027012000	Bronx	20130701015319	28.08849517	4.281732	d
360050027022002	Bronx	20130701046370	0	4.873461	d
360050027023001	Bronx	20130701029231	0	4.933209	d
360050028004001	Bronx	20130701001301	0	4.338276	d
360050031001010	Bronx	20130701029740	24.07924906	5.367838	d
360050033001005	Bronx	20130701023579	0	3.111667	d
360050039001000	Bronx	20130701029125	0.1904892483	3.696933	d
360050039002001	Bronx	20130701012336	10.4456382	4.956508	d
360050039002001	Bronx	20130701027585	0	4.956508	d
360050039005001	Bronx	20130701000072	0	5.396867	d
360050040011004	Bronx	20130701023610	0	1.580572	d
360050043001000	Bronx	20130701000117	0	3.449415	d
360050043001001	Bronx	20130701013678	0	5.157665	d
360050050011001	Bronx	20130701019940	0	2.296754	d
360050050022000	Bronx	20130701004949	0	5.259215	d
360050050022000	Bronx	20130701029362	63.48072827	5.259215	d
360050051001003	Bronx	20130701013671	0	1.097218	d
360050051001021	Bronx	20130701029237	68.34914898	3.485684	d
360050051003000	Bronx	20130701024027	0	3.903133	d
360050052002000	Bronx	20130701024488	0	6.00985	d
360050054001000	Bronx	20130701029699	0	5.873415	d
360050061001000	Bronx	20130701043115	12.99796994	9.793728	d
360050062004000	Bronx	20130701007718	24.00327272	5.38605	d
360050063001000	Bronx	20130701005934	0	0.785659	d
360050063001003	Bronx	20130701014816	0	4.550664	d
360050063002014	Bronx	20130701003042	0	3.112383	d
360050063002014	Bronx	20130701027582	9.976822015	3.112383	d
360050063002022	Bronx	20130701015259	5.342255983	1.470271	d
360050063002038	Bronx	20130701021773	0	3.08948	d
360050065001002	Bronx	20130701004822	0.8587853047	23.422462	d
360050065001002	Bronx	20130701020121	1.040640946	23.422462	d
360050065004000	Bronx	20130701029985	0	6.371331	d
360050067004003	Bronx	20130701006387	25.50756223	5.023635	d
360050069002002	Bronx	20130701024846	58.40618833	3.468355	d
360050070003001	Bronx	20130701010450	52.64944205	2.725852	d
360050071002015	Bronx	20130701029815	22.92466843	8.122192	d
360050078002005	Bronx	20130701030510	0	2.114148	d
360050083004001	Bronx	20130701022486	30.84339367	3.525462	d
360050083005000	Bronx	20130701014558	0	6.611675	d
360050083006000	Bronx	20130701023385	69.93804382	5.007549	d
360050089002002	Bronx	20130701009023	0	4.556165	d
360050092004000	Bronx	20130701013261	0	2.562221	d
360050096002007	Bronx	20130701017085	0	3.834511	d
360050096002021	Bronx	20130701045287	0	1.925479	d
360050096002028	Bronx	20130701018220	4.355307695	0.197176	d
360050115023003	Bronx	20130701043251	97.05916154	5.119086	d
360050117002021	Bronx	20130701024481	0	1.688321	d
360050129011007	Bronx	20130701006775	0	5.624663	d
360050131002003	Bronx	20130701008182	0	3.665959	d
360050131003000	Bronx	20130701021779	11.28730693	3.303517	d
360050141002000	Bronx	20130701026000	0	4.544334	d
360050145004002	Bronx	20130701023813	0	1.771569	d
360050147021000	Bronx	20130701039614	0.008883049455	4.095448	d
360050157003005	Bronx	20130701021700	5.075431629	3.818414	d
360050160001006	Bronx	20130701024957	0	2.174479	d
360050161003000	Bronx	20130701006231	2.829323184	7.493932	d
360050171001000	Bronx	20130701004983	0	0.016175	d
360050173002001	Bronx	20130701010080	51.66532482	3.706668	d
360050177011002	Bronx	20130701029771	0	4.936176	d
360050179013001	Bronx	20130701040439	67.98663028	6.821673	d
360050181021002	Bronx	20130701013330	36.37266902	10.003869	d
360050181024000	Bronx	20130701030540	0	8.068436	d
360050183011000	Bronx	20130701030329	0	9.853664	d
360050183011001	Bronx	20130701022140	17.67072483	9.501134	d
360050183023002	Bronx	20130701029701	0.6660333235	7.395636	d
360050185003004	Bronx	20130701012487	0	5.218629	d
360050185003005	Bronx	20130701024140	24.76987702	4.322849	d
360050189001009	Bronx	20130701030433	0	5.470082	d
360050189002001	Bronx	20130701007996	42.24509024	7.413787	d
360050193004000	Bronx	20130701020323	0	2.94252	d
360050195002003	Bronx	20130701026257	0	3.371545	d
360050197002000	Bronx	20130701008619	4.014687574	10.887388	d
360050199002001	Bronx	20130701007130	0	9.980608	d
360050199006000	Bronx	20130701026619	73.1543807	4.312888	d
360050200002001	Bronx	20130701011581	0	3.242494	d
360050205023001	Bronx	20130701041485	0	4.346078	d
360050206012000	Bronx	20130701005178	5.049405216	2.18256	d
360050209001004	Bronx	20130701025437	0	2.017426	d
360050209004000	Bronx	20130701007023	59.49326807	6.22064	d
360050210014000	Bronx	20130701026813	0	7.620262	d
360050210021000	Bronx	20130701023219	0	7.065386	d
360050210028000	Bronx	20130701006781	0	6.530086	d
360050211003001	Bronx	20130701015669	11.00439245	6.811986	d
